index,cluster_no
UKPARL.2025.AAD,1
UKPARL.2025.AAG,4
UKPARL.2025.AAS,1
UKPARL.2025.ABF,1
UKPARL.2025.ABH,3
UKPARL.2025.ABL,2
UKPARL.2025.ABM,2
UKPARL.2025.ABN,3
UKPARL.2025.ABS,3
UKPARL.2025.ABV,1
UKPARL.2025.ACC,4
UKPARL.2025.AFM,1
UKPARL.2025.AHT,3
UKPARL.2025.APG,2
UKPARL.2025.ASD,2
UKPARL.2025.ASF,3
UKPARL.2025.ASH,1
UKPARL.2025.ASW,3
UKPARL.2025.AUL,3
UKPARL.2025.AYS,1
UKPARL.2025.BAA,1
UKPARL.2025.BAB,3
UKPARL.2025.BAC,1
UKPARL.2025.BAF,2
UKPARL.2025.BAI,3
UKPARL.2025.BAL,1
UKPARL.2025.BAN,4
UKPARL.2025.BAO,4
UKPARL.2025.BAP,3
UKPARL.2025.BAS,1
UKPARL.2025.BAT,3
UKPARL.2025.BAU,1
UKPARL.2025.BBH,3
UKPARL.2025.BBN,3
UKPARL.2025.BCF,1
UKPARL.2025.BDE,3
UKPARL.2025.BDS,3
UKPARL.2025.BDW,3
UKPARL.2025.BEA,3
UKPARL.2025.BEB,3
UKPARL.2025.BED,3
UKPARL.2025.BER,3
UKPARL.2025.BES,1
UKPARL.2025.BEV,4
UKPARL.2025.BEX,4
UKPARL.2025.BGA,4
UKPARL.2025.BGN,1
UKPARL.2025.BGR,1
UKPARL.2025.BGS,3
UKPARL.2025.BHE,3
UKPARL.2025.BHG,3
UKPARL.2025.BHW,3
UKPARL.2025.BIA,4
UKPARL.2025.BIM,4
UKPARL.2025.BKG,3
UKPARL.2025.BKH,3
UKPARL.2025.BKP,3
UKPARL.2025.BLA,3
UKPARL.2025.BLN,3
UKPARL.2025.BLS,3
UKPARL.2025.BLW,3
UKPARL.2025.BMS,3
UKPARL.2025.BNE,3
UKPARL.2025.BNF,3
UKPARL.2025.BNN,3
UKPARL.2025.BNS,3
UKPARL.2025.BNW,3
UKPARL.2025.BOL,4
UKPARL.2025.BOS,3
UKPARL.2025.BPB,3
UKPARL.2025.BPN,3
UKPARL.2025.BPS,3
UKPARL.2025.BPV,3
UKPARL.2025.BRC,2
UKPARL.2025.BRD,4
UKPARL.2025.BRG,1
UKPARL.2025.BRK,3
UKPARL.2025.BRL,3
UKPARL.2025.BRS,2
UKPARL.2025.BRW,4
UKPARL.2025.BSC,3
UKPARL.2025.BSE,3
UKPARL.2025.BSK,3
UKPARL.2025.BSL,1
UKPARL.2025.BSN,3
UKPARL.2025.BSO,3
UKPARL.2025.BSS,3
UKPARL.2025.BTE,3
UKPARL.2025.BTH,3
UKPARL.2025.BTL,3
UKPARL.2025.BTN,3
UKPARL.2025.BTR,1
UKPARL.2025.BTS,1
UKPARL.2025.BTW,3
UKPARL.2025.BUC,1
UKPARL.2025.BUN,3
UKPARL.2025.BUR,3
UKPARL.2025.BUS,3
UKPARL.2025.BWE,3
UKPARL.2025.BWS,4
UKPARL.2025.BWT,1
UKPARL.2025.BXB,3
UKPARL.2025.BXC,3
UKPARL.2025.BXT,3
UKPARL.2025.BYA,3
UKPARL.2025.CAA,1
UKPARL.2025.CAB,1
UKPARL.2025.CAE,1
UKPARL.2025.CAF,3
UKPARL.2025.CAN,2
UKPARL.2025.CAR,1
UKPARL.2025.CAV,1
UKPARL.2025.CAW,3
UKPARL.2025.CAY,1
UKPARL.2025.CBG,3
UKPARL.2025.CBH,3
UKPARL.2025.CCH,1
UKPARL.2025.CDL,3
UKPARL.2025.CDP,2
UKPARL.2025.CDV,2
UKPARL.2025.CEA,3
UKPARL.2025.CFE,3
UKPARL.2025.CFN,3
UKPARL.2025.CFP,3
UKPARL.2025.CFW,3
UKPARL.2025.CHD,3
UKPARL.2025.CHM,3
UKPARL.2025.CHN,3
UKPARL.2025.CHR,3
UKPARL.2025.CHS,2
UKPARL.2025.CKC,3
UKPARL.2025.CKH,1
UKPARL.2025.CKY,1
UKPARL.2025.CLE,4
UKPARL.2025.CLN,1
UKPARL.2025.CLT,1
UKPARL.2025.CLW,3
UKPARL.2025.CNG,1
UKPARL.2025.CNM,3
UKPARL.2025.CNW,3
UKPARL.2025.COL,3
UKPARL.2025.COR,4
UKPARL.2025.COV,1
UKPARL.2025.CPB,3
UKPARL.2025.CPM,1
UKPARL.2025.CPT,3
UKPARL.2025.CRA,3
UKPARL.2025.CRE,3
UKPARL.2025.CRK,4
UKPARL.2025.CRL,1
UKPARL.2025.CRR,4
UKPARL.2025.CRS,3
UKPARL.2025.CRW,3
UKPARL.2025.CSI,4
UKPARL.2025.CSO,3
UKPARL.2025.CSR,2
UKPARL.2025.CTB,1
UKPARL.2025.CTM,3
UKPARL.2025.CWG,3
UKPARL.2025.CWN,3
UKPARL.2025.DAB,3
UKPARL.2025.DAD,1
UKPARL.2025.DAE,4
UKPARL.2025.DAG,4
UKPARL.2025.DAH,1
UKPARL.2025.DAR,3
UKPARL.2025.DAV,2
UKPARL.2025.DAW,4
UKPARL.2025.DCT,2
UKPARL.2025.DED,2
