DZ_CODE,UR2FOLD,UR3FOLD,UR6FOLD,UR8FOLD
S01006517,1,1,1,1
S01006518,1,1,1,1
S01006519,1,1,1,1
S01006520,1,1,1,1
S01006521,1,1,1,1
S01006522,1,1,1,1
S01006523,1,1,1,1
S01006524,1,1,1,1
S01006525,1,1,1,1
S01006526,1,1,1,1
S01006527,1,1,1,1
S01006528,1,1,1,1
S01006529,1,1,1,1
S01006530,1,1,1,1
S01006531,1,1,1,1
S01006532,1,1,1,1
S01006533,1,1,1,1
S01006534,1,1,1,1
S01006535,1,1,1,1
S01006536,1,1,1,1
S01006537,1,1,1,1
S01006538,1,1,1,1
S01006539,1,1,1,1
S01006540,1,1,1,1
S01006541,1,1,1,1
S01006542,1,1,1,1
S01006543,1,1,1,1
S01006544,1,1,1,1
S01006545,1,1,1,1
S01006546,1,1,1,1
S01006547,1,1,1,1
S01006548,1,1,1,1
S01006549,1,1,1,1
S01006550,1,1,1,1
S01006551,1,1,1,1
S01006552,1,1,1,1
S01006553,1,1,1,1
S01006554,1,1,1,1
S01006555,1,1,1,1
S01006556,1,1,1,1
S01006557,1,1,1,1
S01006558,1,1,1,1
S01006559,1,1,1,1
S01006560,1,1,1,1
S01006561,1,1,1,1
S01006562,1,1,1,1
S01006563,1,1,1,1
S01006564,1,1,1,1
S01006565,1,1,1,1
S01006566,1,1,1,1
S01006567,1,1,1,1
S01006568,1,1,1,1
S01006569,1,1,1,1
S01006570,1,1,1,1
S01006571,1,1,1,1
S01006572,1,1,1,1
S01006573,1,1,1,1
S01006574,1,1,1,1
S01006575,1,1,1,1
S01006576,1,1,1,1
S01006577,1,1,1,1
S01006578,1,1,1,1
S01006579,1,1,1,1
S01006580,1,1,1,1
S01006581,1,1,1,1
S01006582,1,1,1,1
S01006583,1,1,1,1
S01006584,1,1,1,1
S01006585,1,1,1,1
S01006586,1,1,1,1
S01006587,1,1,1,1
S01006588,1,1,1,1
S01006589,1,1,1,1
S01006590,1,1,1,1
S01006591,1,1,1,1
S01006592,1,1,1,1
S01006593,1,1,1,1
S01006594,1,1,1,1
S01006595,1,1,1,1
S01006596,1,1,1,1
S01006597,1,1,1,1
S01006598,1,1,1,1
S01006599,1,1,1,1
S01006600,1,1,1,1
S01006601,1,1,1,1
S01006602,1,1,1,1
S01006603,1,1,1,1
S01006604,1,1,1,1
S01006605,1,1,1,1
S01006606,1,1,1,1
S01006607,1,1,1,1
S01006608,1,1,1,1
S01006609,1,1,1,1
S01006610,1,1,1,1
S01006611,1,1,1,1
S01006612,1,1,1,1
S01006613,1,1,1,1
S01006614,1,1,1,1
S01006615,1,1,1,1
S01006616,1,1,1,1
S01006617,1,1,1,1
S01006618,1,1,1,1
S01006619,1,1,1,1
S01006620,1,1,1,1
S01006621,1,1,1,1
S01006622,1,1,1,1
S01006623,1,1,1,1
S01006624,1,1,1,1
S01006625,1,1,1,1
S01006626,1,1,1,1
S01006627,1,1,1,1
S01006628,1,1,1,1
S01006629,1,1,1,1
S01006630,1,1,1,1
S01006631,1,1,1,1
S01006632,1,1,1,1
S01006633,1,1,1,1
S01006634,1,1,1,1
S01006635,1,1,1,1
S01006636,1,1,1,1
S01006637,1,1,1,1
S01006638,1,1,1,1
S01006639,1,1,1,1
S01006640,1,1,1,1
S01006641,1,1,1,1
S01006642,1,1,1,1
S01006643,1,1,1,1
S01006644,1,1,1,1
S01006645,1,1,1,1
S01006646,1,1,1,1
S01006647,1,1,1,1
S01006648,1,1,1,1
S01006649,1,1,1,1
S01006650,1,1,1,1
S01006651,1,1,1,1
S01006652,1,1,1,1
S01006653,1,1,1,1
S01006654,1,1,1,1
S01006655,1,1,1,1
S01006656,1,1,1,1
S01006657,1,1,1,1
S01006658,1,1,1,1
S01006659,1,1,1,1
S01006660,1,1,1,1
S01006661,1,1,1,1
S01006662,1,1,1,1
S01006663,1,1,1,1
S01006664,1,1,1,1
S01006665,1,1,1,1
S01006666,1,1,1,1
S01006667,1,1,1,1
S01006668,1,1,1,1
S01006669,1,1,1,1
S01006670,1,1,1,1
S01006671,1,1,1,1
S01006672,1,1,1,1
S01006673,1,1,1,1
S01006674,1,1,1,1
S01006675,1,1,1,1
S01006676,1,1,1,1
S01006677,1,1,1,1
S01006678,1,1,1,1
S01006679,1,1,1,1
S01006680,1,1,1,1
S01006681,1,1,1,1
S01006682,1,1,1,1
S01006683,1,1,1,1
S01006684,1,1,1,1
S01006685,1,1,1,1
S01006686,1,1,1,1
S01006687,1,1,1,1
S01006688,1,1,1,1
S01006689,1,1,1,1
S01006690,1,1,1,1
S01006691,1,1,1,1
S01006692,1,1,1,1
S01006693,1,1,1,1
S01006694,1,1,1,1
S01006695,1,1,1,1
S01006696,1,1,1,1
S01006697,1,1,1,1
S01006698,1,1,1,1
S01006699,1,1,1,1
S01006700,1,1,1,1
S01006701,1,1,1,1
S01006702,1,1,1,1
S01006703,1,1,1,1
S01006704,1,1,1,1
S01006705,1,1,1,1
S01006706,1,1,1,1
S01006707,1,1,1,1
S01006708,1,1,1,1
S01006709,1,1,1,1
S01006710,1,1,1,1
S01006711,1,1,1,1
S01006712,1,1,1,1
S01006713,1,1,1,1
S01006714,1,1,1,1
S01006715,1,1,1,1
S01006716,1,1,1,1
S01006717,1,1,1,1
S01006718,1,1,1,1
S01006719,1,1,1,1
S01006720,1,1,1,1
S01006721,1,1,1,1
S01006722,1,1,1,1
S01006723,1,1,1,1
S01006724,1,1,1,1
S01006725,1,1,1,1
S01006726,1,1,1,1
S01006727,1,1,1,1
S01006728,1,1,1,1
S01006729,1,1,1,1
S01006730,1,1,1,1
S01006731,1,1,1,1
S01006738,1,1,1,1
S01006739,1,1,1,1
S01006740,1,1,1,1
S01006741,1,1,1,1
S01006742,1,1,1,1
S01006743,1,1,1,1
S01006744,1,1,1,1
S01006745,1,1,1,1
S01006746,1,1,1,1
S01006747,1,1,1,1
S01006748,1,1,1,1
S01006749,1,1,1,1
S01006750,1,1,1,1
S01006751,1,1,1,1
S01006752,1,1,1,1
S01006753,1,1,1,1
S01006754,1,1,1,1
S01006755,1,1,1,1
S01006756,1,1,1,1
S01006757,1,1,1,1
S01006758,1,1,1,1
S01006759,1,1,1,1
S01006760,1,1,1,1
S01006761,1,1,1,1
S01006762,1,1,1,1
S01006763,1,1,1,1
S01006764,1,1,1,1
S01006765,1,1,1,1
S01006766,1,1,1,1
S01006767,1,1,1,1
S01006768,1,1,1,1
S01006769,1,1,1,1
S01006770,1,1,1,1
S01006771,1,1,1,1
S01006772,1,1,1,1
S01006773,1,1,1,1
S01006774,1,1,1,1
S01006775,1,1,1,1
S01006776,1,1,1,1
S01006777,1,1,1,1
S01006778,1,1,1,1
S01006779,1,1,1,1
S01006780,1,1,1,1
S01006781,1,1,1,1
S01006782,1,1,1,1
S01006783,1,1,1,1
S01006784,1,1,1,1
S01006785,1,1,1,1
S01006786,1,1,1,1
S01006787,1,1,1,1
S01006788,1,1,1,1
S01007137,1,1,1,1
S01007142,1,1,1,1
S01007145,1,1,1,1
S01007146,1,1,1,1
S01007147,1,1,1,1
S01007148,1,1,1,1
S01007149,1,1,1,1
S01007150,1,1,1,1
S01007151,1,1,1,1
S01007152,1,1,1,1
S01007153,1,1,1,1
S01007154,1,1,1,1
S01007155,1,1,1,1
S01007682,1,1,1,1
S01007683,1,1,1,1
S01007684,1,1,1,1
S01007685,1,1,1,1
S01007686,1,1,1,1
S01007687,1,1,1,1
S01007688,1,1,1,1
S01007689,1,1,1,1
S01007690,1,1,1,1
S01007691,1,1,1,1
S01007692,1,1,1,1
S01007693,1,1,1,1
S01007694,1,1,1,1
S01007695,1,1,1,1
S01007696,1,1,1,1
S01007697,1,1,1,1
S01007698,1,1,1,1
S01007699,1,1,1,1
S01007700,1,1,1,1
S01007701,1,1,1,1
S01007702,1,1,1,1
S01007703,1,1,1,1
S01007704,1,1,1,1
S01007705,1,1,1,1
